Región,Distrito,Comuna,Local,Nro. Mesa,Mesas Fusionadas,Electores,Nro. En Voto,Lista,Partido,Candidato,Votos TRICEL
13,10,LA GRANJA,ESCUELA BASICA ISLAS DE CHILE,126,126V,318,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,63,0.19811320754716982
13,10,LA GRANJA,ESCUELA BASICA ISLAS DE CHILE,138,138M,325,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,57,0.1753846153846154
13,10,LA GRANJA,ESCUELA BASICA ISLAS DE CHILE,139,139M,340,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,59,0.17352941176470588
13,10,MACUL,ESTADIO MONUMENTAL,2,2M,346,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,70,0.2023121387283237
13,10,MACUL,ESTADIO MONUMENTAL,3,3M,342,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,69,0.20175438596491227
13,10,MACUL,ESTADIO MONUMENTAL,6,6M,346,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,88,0.2543352601156069
13,10,MACUL,ESTADIO MONUMENTAL,6,6V,342,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,61,0.1783625730994152
13,10,MACUL,ESTADIO MONUMENTAL,7,7M,342,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,69,0.20175438596491227
13,10,MACUL,ESTADIO MONUMENTAL,7,7V,340,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,67,0.19705882352941176
13,10,MACUL,ESTADIO MONUMENTAL,8,8M,344,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,68,0.19767441860465115
13,10,MACUL,ESTADIO MONUMENTAL,8,8V,344,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,56,0.16279069767441862
13,10,MACUL,ESTADIO MONUMENTAL,9,9M,340,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,62,0.18235294117647058
13,10,MACUL,ESTADIO MONUMENTAL LOCAL: 2,26,26,340,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,57,0.1676470588235294
13,10,MACUL,ESTADIO MONUMENTAL LOCAL: 2,32,32,345,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,59,0.17101449275362318
13,10,MACUL,ESTADIO MONUMENTAL LOCAL: 2,35,35,340,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,68,0.2
13,10,MACUL,ESTADIO MONUMENTAL LOCAL: 2,40,40,345,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,82,0.23768115942028986
13,10,MACUL,ESTADIO MONUMENTAL LOCAL: 3,43,43,347,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,58,0.16714697406340057
13,10,MACUL,ESTADIO MONUMENTAL LOCAL: 3,44,44,342,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,57,0.16666666666666666
13,10,MACUL,ESTADIO MONUMENTAL LOCAL: 3,52,52,336,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,63,0.1875
13,10,MACUL,ESTADIO MONUMENTAL LOCAL: 3,53,53,342,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,64,0.1871345029239766
13,10,MACUL,ESTADIO MONUMENTAL LOCAL: 3,56,56,344,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,57,0.16569767441860464
13,10,MACUL,ESTADIO MONUMENTAL LOCAL: 3,60,60,328,57,G,REVOLUCION DEMOCRATICA,GIORGIO JACKSON DRAGO,54,0.16463414634146342
